cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Afghanistan,Afghanistan,1.3444,260,0,25,30,0,187,0,0,1062,0,176,50,0,0,0,0,0,12000000000,2840000000,43,0,5500,0,14325743,34940837,652230,0,1200,5987,21.71,AFG,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
Albania,Albania,2.3137,19,0,0,0,0,19,0,0,467,0,0,0,38,0,0,0,0,250000000,9505000000,4,16000,42500,168300000,1519438,3057220,28748,362,41,691,13.4,ALB,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
Algeria,Algeria,0.4659,551,103,22,59,87,257,45,880,7361,320,240,316,201,0,6,0,5,13000000000,6260000000,157,1306000,325000,12200000000,20741263,41657488,2381741,998,0,6734,227.8,DZA,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
Angola,Angola,0.8379,295,72,18,30,47,126,15,379,595,28,357,115,57,0,0,0,0,7000000000,42080000000,176,1666000,82300,8273000000,6244205,30355880,1246700,1600,1300,5369,131.4,AGO,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
Argentina,Argentina,0.6521,227,24,7,9,64,100,0,370,739,83,172,26,49,0,2,4,0,4200000000,2.15E+11,1138,479400,685000,2185000000,20179430,44694198,2780400,4989,11000,11968,536.2,ARG,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
Armenia,Armenia,2.1251,64,0,9,3,13,37,20,110,748,38,150,68,0,0,0,0,0,1385000000,10410000000,11,0,47500,0,1696085,3038217,29743,0,0,1570,10.88,ARM,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
Australia,Australia,0.3225,464,82,6,38,174,133,22,59,3051,0,54,0,48,2,6,2,8,26300000000,1.71E+12,480,263000,1005000,1821000000,10808002,23470145,7741220,25760,2000,0,1483,AUS,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
Austria,Austria,0.9568,120,15,0,11,32,62,0,56,467,33,0,0,0,0,0,0,0,3380000000,6.31E+11,52,14260,215000,43000000,4017691,8793370,83871,0,0,2524,436.1,AUT,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
Azerbaijan,Azerbaijan,0.9463,147,17,12,1,29,88,17,570,1451,187,227,162,31,0,4,0,1,2805000000,17410000000,37,789300,180000,7000000000,5042346,10046516,86600,713,0,2468,77.91,AZE,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
Bahrain,Bahrain,1.8547,109,17,0,2,37,65,22,180,843,33,26,17,39,0,0,0,1,1415000000,52150000000,4,45000,55000,124600000,806505,1422659,760,161,0,0,34.05,BHR,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
Bangladesh,Bangladesh,0.7066,177,44,0,11,57,67,0,276,1230,18,419,72,112,0,2,0,8,3800000000,50260000000,18,3666,112000,28000000,78913289,159453001,143998,580,8370,4413,186.6,BGD,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
Belarus,Belarus,0.8179,202,39,68,4,28,63,21,532,1560,482,228,238,0,0,0,0,0,623702800,39920000000,65,32000,190000,198000000,4982905,9527543,207600,0,2500,3599,75.25,BLR,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
Belgium,Belgium,1.0499,148,43,0,12,64,29,0,0,984,0,0,0,17,0,0,0,2,4921000000,1.28E+12,41,0,645000,0,4833107,11570762,30528,67,2043,1297,527.8,BEL,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg
Bhutan,Bhutan,10.1681,2,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0,0,25120000,2671000000,2,0,2000,0,176808,766397,38394,0,0,1136,2.09,BTN,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
Bolivia,Bolivia,0.9942,69,0,0,14,23,38,0,54,137,0,86,0,173,0,0,0,0,660000000,12810000000,855,59330,60000,211500000,5075416,11306341,1098581,0,10000,7252,34.08,BOL,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bandera_de_Bolivia_%28Estado%29.svg/1200px-Bandera_de_Bolivia_%28Estado%29.svg.png
Bosnia and Herzegovina,Bosnia and Herzegovina,3.8586,19,0,0,0,0,19,0,320,332,24,837,143,0,0,0,0,0,165000000,10870000000,24,0,32500,0,2394632,3849891,51197,20,0,1543,19.55,BIH,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg
Botswana,Botswana,2.0582,45,10,0,11,8,16,0,55,245,0,30,20,0,0,0,0,0,450000000,2187000000,74,0,16500,0,962617,2249104,581730,0,0,4347,16.3,BWA,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
Brazil,Brazil,0.1988,715,43,78,126,198,242,12,437,1820,132,565,84,112,0,6,0,7,27800000000,5.47E+11,4093,2622000,3020000,13000000000,107764996,208846892,8514877,7491,50000,16145,2244,BRA,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
Bulgaria,Bulgaria,0.8916,63,13,4,5,20,25,2,710,2000,506,350,192,29,0,0,0,4,1079000000,42060000000,68,1000,115000,15000000,3278916,7057504,110880,354,470,1806,55.08,BGR,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
Burkina Faso,Burkina Faso,1.9009,16,0,3,1,4,8,2,0,350,0,0,0,0,0,0,0,0,130000000,3056000000,23,0,10500,0,7800000,19742715,274200,0,0,3611,13.38,BFA,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg
Cambodia,Cambodia,2.0557,22,0,0,5,0,17,0,263,340,0,150,570,27,0,0,0,0,604000000,11870000000,16,0,42500,0,8120963,16449519,181035,443,3700,2530,16.9,KHM,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
Cameroon,Cameroon,1.9902,29,0,0,6,6,15,0,0,222,8,61,20,64,0,0,0,0,347000000,9375000000,33,75720,32500,200000000,9487157,25640965,475440,400,0,5018,32.16,CMR,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
Canada,Canada,0.3712,385,62,0,38,135,145,0,80,1973,0,133,0,64,0,4,0,12,22500000000,1.61E+12,1467,3977000,2500000,1.70E+11,16110865,35881659,9984670,202080,636,8893,1794,CAN,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
Central African Republic,Central African Republic,3.2889,3,0,0,2,0,1,0,4,55,0,20,0,0,0,0,0,0,20000000,779900000,39,0,4500,0,2348581,5745062,622984,0,2800,5920,1.73,CAF,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
Chad,Chad,1.6383,35,0,6,6,4,17,3,60,372,10,51,10,0,0,0,0,0,200000000,1724000000,59,128000,100000,1500000000,6030834,15833116,1284000,0,0,6406,15.84,TCD,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
Chile,Chile,0.7668,282,44,0,30,93,92,0,300,1430,48,158,10,69,0,4,0,10,4250000000,1.83E+11,481,3244,325000,150000000,8657902,17925262,756102,6435,12290,7801,264.1,CHL,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
China,China,0.0691,3210,1232,371,224,314,911,281,3500,33000,3800,3600,2650,777,2,74,36,52,2.37E+11,1.60E+12,507,3838000,13500000,25620000000,752855402,1384688986,9596961,14500,110000,22457,10360,CHN,https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg
Colombia,Colombia,0.6045,469,21,38,76,80,224,0,0,595,6,110,0,453,0,11,0,4,10600000000,1.25E+11,836,853600,300000,2002000000,24084498,48168996,1138910,3208,24725,6672,400.1,COL,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
Croatia,Croatia,1.0183,78,12,0,0,27,47,0,72,604,24,151,105,28,0,0,0,0,800000000,48100000000,69,14000,82000,71000000,2088265,4270480,56594,5835,785,2237,57.18,HRV,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
Cuba,Cuba,1.2208,80,38,0,2,26,14,4,1180,670,100,150,100,12,0,0,0,2,500000000,30060000000,133,50000,152000,124000000,5980621,11116396,110860,3735,240,29,77.15,CUB,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
"Czech Republic	","Czech Republic	",0.5531,95,12,16,8,15,44,15,116,682,86,85,0,0,0,0,0,0,2969000000,2.05E+11,128,2000,200000,15000000,5011174,10686269,78867,0,664,2046,205.6,CZE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/800px-Flag_of_the_Czech_Republic.svg.png?20110920204324
"Congo, DR","Congo, Democratic Republic of the",1.1389,53,2,4,13,0,34,8,175,100,16,120,57,20,0,0,0,0,100000000,4963000000,198,19160,10500,180000000,34112410,85281024,2344858,37,15000,10481,32.67,COD,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
Denmark,Denmark,0.7878,113,33,0,4,38,35,0,57,972,22,0,0,74,0,0,0,9,4760000000,4.85E+11,80,137100,162000,490600000,2590457,5809502,43094,7314,400,140,347.2,DNK,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
